"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9000","hyperon-mettalog_sanity.coerce_tests","","Thu Dec 26 10:25:02 GMT 2024","passed","Thu Dec 26 10:25:11 GMT 2024","","WHOLE-TESTS","WHOLE-TESTS",""
"","104","SORTING-TESTS-NATS.14","","Thu Dec 26 10:29:33 GMT 2024","failed","Thu Dec 26 10:29:33 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","120","INTERSECTION-TESTS.31","","Thu Dec 26 10:29:33 GMT 2024","failed","Thu Dec 26 10:29:33 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","2","UNIFY-TRUE-FALSE.09","","Thu Dec 26 10:29:33 GMT 2024","passed","Thu Dec 26 10:29:33 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","3","D3-DEPTYPES.02","","Thu Dec 26 10:25:11 GMT 2024","passed","Thu Dec 26 10:25:11 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","2","B5-TYPES-PRELIM.25","","Thu Dec 26 10:25:11 GMT 2024","passed","Thu Dec 26 10:25:11 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","108","MATH-HYPHEN-FUNCTIONS.33","","Thu Dec 26 10:29:33 GMT 2024","failed","Thu Dec 26 10:29:33 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","8000","metta-morph_tests.and_or","","Thu Dec 26 10:25:02 GMT 2024","passed","Thu Dec 26 10:25:10 GMT 2024","","WHOLE-TESTS","WHOLE-TESTS",""
"","3","INTERSECTION-TESTS.04","","Thu Dec 26 10:29:33 GMT 2024","passed","Thu Dec 26 10:29:33 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","20","TYPE-CHECKING-SYMBOL-HE-673.06","","Thu Dec 26 10:29:33 GMT 2024","failed","Thu Dec 26 10:29:33 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","38","MATH-HYPHEN-FUNCTIONS.32","","Thu Dec 26 10:29:33 GMT 2024","failed","Thu Dec 26 10:29:33 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","2","D4-TYPE-PROP.19","","Thu Dec 26 10:25:11 GMT 2024","passed","Thu Dec 26 10:25:11 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","97","WHAT-EVALS-OR-NOT.09","","Thu Dec 26 10:29:33 GMT 2024","failed","Thu Dec 26 10:29:33 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","1","UNIFY-TRUE-FALSE.03","","Thu Dec 26 10:29:33 GMT 2024","passed","Thu Dec 26 10:29:33 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","2","C2-SPACES.05","","Thu Dec 26 10:24:53 GMT 2024","passed","Thu Dec 26 10:24:53 GMT 2024","","MODULE-SYSTEM","MODULE-SYSTEM",""
"","3","RUST-TESTS.04","","Thu Dec 26 10:29:33 GMT 2024","passed","Thu Dec 26 10:29:33 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","2","INDEX-MIN-FUNCTIONS-EXTRA-2.22","","Thu Dec 26 10:29:33 GMT 2024","passed","Thu Dec 26 10:29:33 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","45","OLD-VOID-OR-EMPTY.03","","Thu Dec 26 10:29:33 GMT 2024","failed","Thu Dec 26 10:29:33 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","3","D4-TYPE-PROP.06","","Thu Dec 26 10:25:11 GMT 2024","passed","Thu Dec 26 10:25:11 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
